species,corolla_tube_length,total_large_anther_length,PC1_corolla,PC2_corolla,PC1_anther,PC2_anther
Cavendishia_chocoensis,1.945910149,1.131402111,0.116594044,0.078509451,,
Cavendishia_complectens,2.197224577,1.558144618,,,,
Cavendishia_cuatrecasasii,3.349904087,3.008154794,,,,
Cavendishia_davidsei,2.48490665,2.351375257,-0.17176624,0.027584153,-0.304949319,0.009817013
Cavendishia_dulcis,2.602689685,2.251291799,-0.025876717,0.08974765,,
Cavendishia_endresii,,,-0.11654088,0.041581376,,
Cavendishia_erythrostegia,3.402862661,3.218875825,-0.199556492,0.002044614,,
Cavendishia_foreroi,3.417726684,3.218875825,-0.192998273,0.036870813,,
Cavendishia_grandifolia,3.511545439,3.258096538,-0.152616296,0.03678466,-0.335809921,0.022140761
Cavendishia_grossa,3.113515309,2.674148649,-0.101780459,0.04158974,-0.326232201,0.019515162
Cavendishia_guatapeensis,2.351375257,1.791759469,-0.030724523,0.069746091,-0.284165638,0.009125755
Cavendishia_isernii,2.302585093,1.791759469,0.022150096,0.083676555,,
Cavendishia_jardinensis,2.302585093,1.871802177,0.121672415,0.118840227,-0.214453189,-0.053299122
Cavendishia_lactiviscida,3.17805383,2.691243083,-0.173767892,0.017484982,,
Cavendishia_laurifolia,2.224623552,1.791759469,-0.016993313,0.06976849,,
Cavendishia_lebrionae,2.251291799,1.386294361,,,,
Cavendishia_lebroniae,,,0.11317984,0.111336192,,
Cavendishia_leucantha,1.791759469,0.703097511,0.184006476,0.100438581,-0.154364689,-0.074571191
Cavendishia_limonensis,2.718000532,2.653241965,-0.17743982,0.033154941,-0.29779284,0.02435416
Cavendishia_lindauiana,3.465735903,3.228826156,-0.180164765,0.016004822,,
Cavendishia_longirachis,3.068052935,2.656756907,-0.183541192,0.006846385,,
Cavendishia_mariae,3.481240089,2.442347035,-0.234597863,-0.014605565,,
Cavendishia_martii,2.327277706,2.028148247,,,,
Cavendishia_melastomoides,,,-0.214074275,-0.000415864,,
Cavendishia_micayensis,2.564949357,2.251291799,,,,
Cavendishia_neblinae,3.044522438,2.890371758,-0.139386744,0.036551511,,
Cavendishia_nitens,,,,,-0.33137754,0.018938854
Cavendishia_nobilis,3.218875825,2.862200881,,,,
Cavendishia_nuda,,,,,-0.271993145,0.013977261
